date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:37	26512/26512	---MCZ	200	added ('OK')	text/html	etag:W/%2263726825-6790%22	https://ui-themez.smartinnovates.net/items/zain/index1.html	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/index1.html	(from )
13:53:38	128/128	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Mar%202025%2010:53:37%20GMT	https://ui-themez.smartinnovates.net/robots.txt		(from )
13:53:38	644/644	---M--	200	added ('OK')	image/png	etag:%226372684b-284%22	https://ui-themez.smartinnovates.net/items/zain/img/favicon.png	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/favicon.png	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:38	976/976	---MCZ	200	added ('OK')	text/css	etag:W/%226372682a-3d0%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins.css	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:38	28939/28939	---MCZ	200	added ('OK')	text/css	etag:W/%226372682b-710b%22	https://ui-themez.smartinnovates.net/items/zain/css/style.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/style.css	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:39	1051/1051	---M--	200	added ('OK')	image/png	etag:%226372684d-41b%22	https://ui-themez.smartinnovates.net/items/zain/img/logo-light.png	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/logo-light.png	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:39	57094/57094	---M--	200	added ('OK')	image/jpeg	etag:%226372684c-df06%22	https://ui-themez.smartinnovates.net/items/zain/img/hero.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/hero.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:40	105130/105130	---M--	200	added ('OK')	image/jpeg	etag:%2263726861-19aaa%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/1.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/1.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:40	15540/15540	---M--	200	added ('OK')	image/jpeg	etag:%2263726860-3cb4%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/2.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/2.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:40	66010/66010	---M--	200	added ('OK')	image/jpeg	etag:%2263726861-101da%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/3.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/3.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:40	99013/99013	---M--	200	added ('OK')	image/jpeg	etag:%2263726862-182c5%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/4.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/4.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:40	38765/38765	---M--	200	added ('OK')	image/jpeg	etag:%2263726862-976d%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/5.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/5.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:41	59901/59901	---M--	200	added ('OK')	image/jpeg	etag:%2263726863-e9fd%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/6.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/6.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
